N,Iterative,Recursive,DP
1,0,1,1
2,1,3,2
3,2,7,3
4,3,15,4
5,4,31,5
6,5,63,6
7,6,127,7
8,7,255,8
9,8,511,9
10,9,1023,10
11,10,2047,11
12,11,4095,12
13,12,8191,13
14,13,16383,14
15,14,32767,15
16,15,65535,16
17,16,131071,17
18,17,262143,18
19,18,524287,19
20,19,1048575,20
